                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80476,                0.96387,                      1,                0.79372,             0.00023766,             0.00023766,             0.00023766
                      2,                 0.3997,                0.94798,                      1,                0.80254,             0.00047252,             0.00047252,             0.00047252
                      3,                0.26573,                0.91474,                      1,                 0.8281,             0.00070424,             0.00070424,             0.00070424
                      4,                0.23879,                0.97688,                      1,                0.77492,             0.00069986,             0.00069986,             0.00069986
                      5,                0.19503,                0.95087,                      1,                0.79888,             0.00069986,             0.00069986,             0.00069986
                      6,                0.18711,                0.98699,                      1,                0.77163,             0.00069515,             0.00069515,             0.00069515
                      7,                0.16753,                0.98699,                      1,                0.76554,             0.00069044,             0.00069044,             0.00069044
                      8,                0.14784,                0.98266,                      1,                0.76812,             0.00068573,             0.00068573,             0.00068573
                      9,                0.15338,                0.98844,                      1,                0.76319,             0.00068101,             0.00068101,             0.00068101
                     10,                0.14914,                0.97254,                      1,                0.77412,              0.0006763,              0.0006763,              0.0006763
                     11,                0.14353,                0.98121,                      1,                0.76877,             0.00067159,             0.00067159,             0.00067159
                     12,                0.14211,                0.97688,                      1,                0.77121,             0.00066688,             0.00066688,             0.00066688
                     13,                0.13389,                 0.9841,                      1,                0.76721,             0.00066216,             0.00066216,             0.00066216
                     14,                0.11388,                 0.9841,                      1,                 0.7704,             0.00065745,             0.00065745,             0.00065745
                     15,                 0.1287,                0.98555,                      1,                0.76738,             0.00065274,             0.00065274,             0.00065274
                     16,                0.11595,                0.98121,                      1,                0.76716,             0.00064803,             0.00064803,             0.00064803
                     17,                0.11083,                0.97399,                      1,                0.77336,             0.00064331,             0.00064331,             0.00064331
                     18,                0.11366,                0.99277,                      1,                0.75831,              0.0006386,              0.0006386,              0.0006386
                     19,                0.11199,                0.99133,                      1,                0.76186,             0.00063389,             0.00063389,             0.00063389
                     20,                0.11189,                0.98121,                      1,                0.76444,             0.00062918,             0.00062918,             0.00062918
                     21,                0.11137,                0.98988,                      1,                0.76465,             0.00062446,             0.00062446,             0.00062446
